Bank,Total_Assets,Equity,Total_Liabilities,HQLA,Net_Outflows_30d,Bad_Loans,Total_Loans,Est_CDS_Spread,Stock_Volatility,Interbank_Assets,Interbank_Liabilities,Market_Cap_E,Equity_Volatility_SigmaE,Implied_Asset_Value,Implied_Asset_Volatility,Distance_to_Default,Prob_Default_1Y
JPM,4002.81,344.76,3658.06,866.01,731.66,0.0,0.0,134.66,0.26,480.33720000000005,480.3372,877657325568,0.26,877657327325.3127,0.25999999705749516,76.90454324234636,1e-06
BAC,3261.52,295.56,2965.96,642.92,582.24,0.0,0.0,225.45,0.28,379.32201658810135,379.3220165881013,412810084352,0.28,412810085776.83154,0.2799999989207376,69.44730250999262,1e-06
C,2352.95,208.6,2143.58,498.02,408.14,0.0,0.0,347.94,0.32,259.7815569795457,259.78155697954566,219525070848,0.32,219525071877.76453,0.3199999991004485,59.770146602351005,1e-06
WFC,1929.84,179.12,1748.78,363.46,326.7,0.0,0.0,203.96,0.29,206.1601756686979,206.1601756686979,294979764224,0.29,294979765064.1047,0.29000000003407367,67.70550377665634,1e-06
GS,1675.97,122.0,1553.98,218.55,286.35,0.0,0.0,208.2,0.32,174.77181654455768,174.77181654455765,281152225280,0.32,281152226026.5238,0.31999999942615165,61.54854576393936,1e-06
MS,1215.07,104.51,1109.64,100.08,198.02,0.0,0.0,151.52,0.31,119.6535189387383,119.65351893873827,286012112896,0.31,286012113429.0652,0.31000000038166553,64.68582658029723,1e-06
USB,678.32,58.58,619.28,142.87,103.98,0.0,0.0,200.71,0.27,59.657894475659965,59.65789447565996,94372954112,0.27,94372954409.49884,0.269999999797947,72.36540759810832,1e-06
PNC,560.04,54.42,505.57,55.64,83.14,0.0,0.0,156.68,0.25,47.31772127451745,47.31772127451745,98038030336,0.25,98038030578.87315,0.24999999969033299,79.1393280279391,1e-06
TFC,531.18,63.68,467.5,44.32,76.43,0.0,0.0,213.12,0.28,44.37193034613752,44.37193034613751,71394738176,0.28,71394738400.58453,0.2799999989635593,69.7787068433961,1e-06
COF,490.14,60.78,429.36,47.08,69.57,0.0,0.0,153.59,0.38,40.23207227941289,40.23207227941289,141635092480,0.38,141635092686.26227,0.38000000024484487,53.355713833529,1e-06
SCHW,479.84,48.38,431.47,124.7,69.75,0.0,0.0,80.22,0.25,39.202617743347865,39.202617743347865,190743248896,0.25,190743249103.2759,0.24999999986416566,82.43557329499998,1e-06
BK,416.06,41.32,374.3,148.41,59.54,0.0,0.0,122.74,0.23,32.92043597819698,32.92043597819698,86694445056,0.23,86694445235.81174,0.2299999986066401,86.81432755140413,1e-06
STT,353.24,25.33,327.91,134.55,51.19,0.0,0.0,283.49,0.29,26.90591333378833,26.90591333378833,36967006208,0.29,36967006365.52623,0.2899999998291513,66.31603325300857,1e-06
AXP,271.46,30.26,241.2,41.5,36.5,0.0,0.0,62.57,0.32,19.38614825416016,19.38614825416016,247401070592,0.32,247401070707.87122,0.31999999977605176,66.97061673597811,1e-06
CFG,217.52,24.25,193.27,43.85,28.48,0.0,0.0,248.8,0.33,14.664046638373897,14.664046638373897,29256599552,0.33,29256599644.845886,0.3300000003704418,59.133272719977015,1e-06
FITB,212.93,19.64,193.28,58.94,28.4,0.0,0.0,141.79,0.29,14.272620012106096,14.272620012106094,49574670336,0.29,49574670428.85069,0.2900000001754576,69.15070040354958,1e-06
MTB,208.1,29.03,179.08,35.23,26.24,0.0,0.0,150.76,0.26,13.862656530685674,13.86265653068567,37193654272,0.26,37193654358.02908,0.25999999887974556,76.3496870573496,1e-06
HBAN,204.23,19.74,184.45,17.21,26.97,0.0,0.0,178.4,0.31,13.535634941275884,13.535634941275882,39112945664,0.31,39112945752.6088,0.310000000319406,64.05625186617355,1e-06
ALLY,191.84,13.9,177.93,29.3,25.81,0.0,0.0,488.98,0.33,12.497692384084036,12.497692384084033,13052339200,0.33,13052339285.476633,0.3299999979508792,56.93800088979721,1e-06
KEY,187.17,18.18,168.99,22.51,24.44,0.0,0.0,231.99,0.31,12.11017509425584,12.11017509425584,25586726912,0.31,25586726993.181904,0.3100000001787662,62.96966840264663,1e-06
RF,157.3,17.88,139.39,34.16,19.72,0.0,0.0,180.17,0.29,9.683756017092133,9.683756017092133,27121788928,0.29,27121788994.96222,0.2900000000890377,68.19801613260007,1e-06
SYF,119.46,16.58,102.88,17.79,14.04,0.0,0.0,188.99,0.39,6.760720497549425,6.760720497549424,27070461952,0.39,27070462001.423008,0.3899999974833168,51.398059122430794,1e-06
ZION,88.78,6.12,82.65,12.63,10.84,0.0,0.0,350.29,0.37,4.5486290500215,4.548629050021499,9640263680,0.37,9640263719.704624,0.36999999685386875,51.99809952178469,1e-06
FHN,82.15,8.82,73.04,8.94,9.48,0.0,0.0,220.74,0.33,4.093820966743843,4.093820966743842,12915496960,0.33,12915496995.08803,0.3300000004458078,59.604192916098164,1e-06
WAL,80.93,6.71,74.23,8.53,9.61,0.0,0.0,351.57,0.43,4.011161052397784,4.011161052397784,10387964928,0.43,10387964963.6597,0.42999999754831664,45.110331788492225,1e-06
CMA,79.3,6.54,72.75,14.18,9.39,0.0,0.0,251.24,0.34,3.9012410898474017,3.901241089847401,11348051968,0.34,11348052002.948715,0.33999999955095506,57.47244187328335,1e-06
WBS,79.03,9.13,69.89,2.08,9.02,0.0,0.0,257.98,0.37,3.8830915590729775,3.883091559072977,11795159040,0.37,11795159073.574787,0.369999998951859,52.996566743912844,1e-06
EWBC,75.98,7.72,68.25,5.48,8.76,0.0,0.0,174.46,0.35,3.679239613294221,3.6792396132942207,16854236160,0.35,16854236192.78694,0.34999999891451034,57.13310764897107,1e-06
WTFC,64.88,6.34,58.54,8.76,7.34,0.0,0.0,208.21,0.32,2.956731294583608,2.9567312945836077,10806402048,0.32,10806402076.122307,0.31999999943460844,61.61137973308403,1e-06
VLY,62.49,7.44,55.06,2.12,6.87,0.0,0.0,265.71,0.32,2.8054661112366386,2.805466111236638,7645184000,0.32,7645184026.450533,0.3199999992974262,60.721454597648425,1e-06
SNV,60.23,5.24,54.97,10.53,6.82,0.0,0.0,358.15,0.4,2.6639462250892763,2.663946225089276,6947805696,0.4,6947805722.407298,0.3999999999848959,48.270128306749626,1e-06
ONB,53.55,6.34,47.21,8.69,5.76,0.0,0.0,193.44,0.34,2.254833761803939,2.2548337618039387,10113204224,0.34,10113204246.679434,0.3399999996932712,58.40543888862131,1e-06
PNFP,52.59,6.43,46.16,8.92,5.62,0.0,0.0,149.64,0.37,2.1972342079740788,2.1972342079740783,15367027712,0.37,15367027734.17502,0.3699999992114995,54.83263134241416,1e-06
CFR,52.52,3.9,48.62,25.26,5.91,0.0,0.0,176.67,0.29,2.193046548062928,2.1930465480629278,9379520512,0.29,9379520535.35679,0.2900000000859572,68.1684713407309,1e-06
COLB,51.58,5.12,46.46,2.08,5.64,0.0,0.0,207.89,0.36,2.136976359062317,2.1369763590623165,9592809472,0.36,9592809494.31914,0.3599999998792257,55.03898639908706,1e-06
UMBF,50.41,3.47,46.94,16.33,5.68,0.0,0.0,179.18,0.32,2.067619619107541,2.0676196191075404,10203037696,0.32,10203037718.549728,0.31999999949737246,62.12196359363937,1e-06
BOKF,49.69,5.55,44.13,14.29,5.32,0.0,0.0,166.42,0.27,2.0251815376626694,2.0251815376626694,8637735936,0.27,8637735957.19982,0.26999999989218343,73.29245818015687,1e-06
FNB,48.62,6.3,42.32,5.39,5.09,0.0,0.0,223.5,0.31,1.9624626415865165,1.9624626415865165,6768781312,0.31,6768781332.330304,0.31000000020500357,63.14652992797552,1e-06
ASB,43.02,4.61,38.42,5.57,4.53,0.0,0.0,284.74,0.32,1.6413789607977802,1.64137896079778,4875279360,0.32,4875279378.456765,0.3199999992452626,60.44003849135297,1e-06
SF,39.9,5.69,34.21,3.0,3.99,0.0,0.0,120.65,0.34,1.4681004518033227,1.4681004518033225,13299799040,0.34,13299799056.434303,0.3399999998644402,60.15836456850821,1e-06
PB,39.57,7.44,32.13,12.95,3.74,0.0,0.0,139.41,0.26,1.4500247334011014,1.4500247334011012,7267922432,0.26,7267922447.435082,0.25999999890435166,76.6780515720738,1e-06
SOFI,36.25,6.53,29.73,4.34,3.42,0.0,0.0,135.17,0.64,1.2710094393390163,1.271009439339016,26359900160,0.64,26359900174.282135,0.6399999995285965,33.01765674839801,1e-06
HWC,35.08,4.13,30.95,6.68,3.54,0.0,0.0,185.1,0.31,1.2092064752395772,1.209206475239577,6221652480,0.31,6221652494.8682165,0.3100000003001404,63.88395337093727,1e-06
CBSH,32.0,3.31,28.66,12.51,3.23,0.0,0.0,110.49,0.24,1.0499447480863446,1.0499447480863444,8129692672,0.24,8129692685.768113,0.23999999968501423,84.03180726861463,1e-06
TCBI,30.73,3.37,27.36,3.37,3.06,0.0,0.0,218.53,0.32,0.985806025862978,0.985806025862978,4768385024,0.32,4768385037.1435995,0.3199999994099636,61.43168325664003,1e-06
BOH,23.6,1.67,21.93,2.62,2.35,0.0,0.0,213.36,0.27,0.6445900181517547,0.6445900181517545,3139441664,0.27,3139441674.535056,0.2699999997704966,72.13389794498462,1e-06
CATY,23.05,2.85,20.21,1.71,2.16,0.0,0.0,196.34,0.3,0.6197540141780077,0.6197540141780076,3680780800,0.3,3680780809.7087774,0.29999999923181664,65.69453481004203,1e-06
WSFS,20.81,2.59,18.23,1.17,1.91,0.0,0.0,165.5,0.29,0.5211145798877475,0.5211145798877473,3862856192,0.29,3862856200.7575955,0.290000000118301,68.4920733755569,1e-06
IBOC,15.74,2.8,12.94,5.34,1.29,0.0,0.0,102.38,0.27,0.3148,0.3147999999999999,4636183040,0.27,4636183046.216308,0.2700000000425061,75.53159679097345,1e-06
